Data,Codigo_municipio,area_colhida_em_hectares,quantidade_produzida_em_ton,valor_producao_em_mil_reais
2022,3511201,200,1200,1920
2023,3511201,200,1200,1600
2022,3512407,200,2112,3520
2019,3512704,200,1000,600
2020,3512704,200,1000,673
2020,3512902,200,1320,1154
2017,3515129,200,960,360
2018,3515129,200,960,538
2019,3515129,200,960,538
2018,3515194,200,744,422
2013,3516804,200,900,340
2014,3516804,200,1220,543
2017,3516804,200,900,369
2020,3517000,200,840,588
2023,3517000,200,1320,1980
2016,3517208,200,1320,672
2015,3517307,200,1110,518
2021,3517505,200,1200,2904
2017,3518008,200,840,362
2016,3518107,200,1200,840
2017,3518107,200,1200,480
2018,3518107,200,1200,708
2022,3519006,200,700,1050
2021,3519501,200,1320,1909
2023,3519808,200,1400,1820
2017,3521101,200,800,341
2018,3521101,200,800,480
2019,3521101,200,800,480
2020,3521101,200,800,538
2021,3521101,200,800,1208
2022,3521101,200,800,1240
2023,3521101,200,800,1131
2022,3521150,200,720,1080
2023,3521150,200,1200,1560
2015,3523701,200,1200,462
2019,3523701,200,1080,572
2020,3523701,200,1200,816
2021,3523701,200,1200,1800
2022,3523701,200,1200,1699
2023,3523701,200,1200,1600
2014,3524501,200,480,168
2022,3524501,200,1110,1655
2023,3524501,200,1110,1370
2013,3524808,200,750,300
2014,3524808,200,675,264
2015,3524808,200,735,278
2015,3525409,200,1560,639
2016,3525904,200,780,390
2017,3525904,200,780,378
2018,3525904,200,780,201
2019,3525904,200,780,197
2020,3525904,200,780,355
2021,3525904,200,780,382
2022,3525904,200,780,798
2023,3525904,200,780,1248
2018,3526001,200,960,384
2020,3526001,200,600,480
2021,3526001,200,840,1260
2017,3526803,200,720,338
2018,3526803,200,720,460
2019,3526803,200,720,460
2016,3527801,200,720,288
2017,3527801,200,1280,288
2018,3528007,200,960,639
2019,3528007,200,960,639
2020,3528106,200,1440,1080
2015,3528205,200,900,450
2016,3528205,200,1020,850
2013,3528908,200,840,320
2014,3528908,200,480,202
2015,3528908,200,840,386
2016,3528908,200,840,446
2013,3529807,200,1260,568
2020,3529807,200,840,588
2017,3530102,200,800,368
2016,3531209,200,1170,779
2017,3531506,200,1200,529
2018,3531506,200,1200,669
2021,3531506,200,1200,1784
2023,3531803,200,1200,940
2013,3532058,200,960,430
2014,3532058,200,960,357
2019,3532108,200,768,384
2020,3532108,200,749,627
2021,3532108,200,766,467
2022,3532108,200,761,837
2023,3532108,200,765,765
2015,3532504,200,960,392
2017,3532504,200,960,490
2018,3532504,200,960,499
2023,3532504,200,1440,1872
2020,3532801,200,1200,900
2020,3532827,200,1400,1862
2021,3532827,200,1480,2960
2022,3532843,200,700,840
2023,3532843,200,820,776
2013,3534104,200,740,318
2015,3535408,200,820,285
2016,3535408,200,800,509
2017,3535408,200,800,296
2021,3536307,200,1440,2160
2020,3536570,200,840,651
2021,3536570,200,756,1132
2018,3536901,200,840,504
2015,3537305,200,840,330
2016,3537305,200,840,575
2014,3537701,200,768,369
2016,3538303,200,480,240
2019,3539004,200,960,520
2017,3539202,200,690,258
2020,3539608,200,1200,900
2015,3540101,200,960,352
2013,3540200,200,960,340
2014,3540200,200,960,395
2015,3540200,200,960,375
2016,3540200,200,960,728
2017,3540200,200,960,369
2018,3540200,200,960,570
2019,3540200,200,970,509
2020,3540200,200,970,732
2021,3540200,200,970,1346
2022,3540200,200,970,1388
2023,3540200,200,970,1096
2013,3540309,200,1452,559
2015,3541109,200,832,341
2015,3541307,200,600,264
2013,3541703,200,700,271
2015,3541802,200,700,315
2016,3541802,200,700,572
2018,3541802,200,700,333
2020,3542008,200,700,756
2018,3542404,200,360,150
2019,3542404,200,360,150
