ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2023,352573,35352573,10211,LESTE 3,ANTONIO CARLOS BRASILEIRO DE ALMEIDA JOBIM TOM JOBIM,SAO PAULO,4,,2.63
2023,352585,35352585,10403,GUARULHOS NORTE,BOM PASTOR II,GUARULHOS,,1,1.51
2023,352603,35352603,10502,SUZANO,GILBERTO DE CARVALHO PROFESSOR,SUZANO,,2,3.51
2023,362759,35362759,20306,ITU,PRISCILA DE FATIMA PINTO PROFESSORA,ITU,,3,
2023,377156,35377156,20602,JAU,ANTONIO TEREZIO MENDES PEIXOTO PROFESSOR,JAU,,2,
2023,389250,35389250,10602,MAUA,CLOTILDE ALVARES DORATIOTO,MAUA,4,,1.67
2023,406004,35406004,20506,JABOTICABAL,BAIRRO CRUZEIRO,MONTE AZUL PAULISTA,,2,
2023,406272,35406272,20419,CAPIVARI,MARIO COVAS GOVERNADOR,MONTE MOR,,2,1.19
2023,406685,35406685,20310,VOTORANTIM,SELMA MARIA MARTINS CUNHA PROFESSORA,VOTORANTIM,,2,
2023,406806,35406806,10401,CAIEIRAS,PEDRO LELIS DE SOUZA PREFEITO,FRANCO DA ROCHA,,1,
2023,407215,35407215,20801,ANDRADINA,DARIO GIOMETTI PROFESSOR,CASTILHO,,3,
2023,409169,35409169,10316,CENTRO SUL,TERUKO UEDA YAMAGUTI PROFESSORA,SAO PAULO,,2,
2023,411292,35411292,10403,GUARULHOS NORTE,JARDIM FORTALEZA II,GUARULHOS,,,2.01
2023,412173,35412173,10211,LESTE 3,JUAN CARLOS ONETTI ESCRITOR,SAO PAULO,,2,
2023,412181,35412181,20507,RIBEIRAO PRETO,PROFESSORA SUELI TEREZINHA DANHONE,RIBEIRAO PRETO,,2,
2023,412983,35412983,10602,MAUA,AFONSO PASCHOTTE PADRE,MAUA,,2,1.2
2023,414612,35414612,10101,NORTE 1,NOE RODRIGUES PADRE,SAO PAULO,3,,1.64
2023,415443,35415443,10318,SUL 3,JOS? EPHIM MINDLIN,SAO PAULO,,,
2023,430705,35430705,20404,CAMPINAS OESTE,JARDIM ICARAI,CAMPINAS,3,,1.05
2023,431597,35431597,20604,LINS,MOACYR MIRANDA PINTO PROFESSOR DOUTOR,PROMISSAO,,3,1.23
2023,432842,35432842,20404,CAMPINAS OESTE,ANTONIO CARLOS LEHMAN,CAMPINAS,2,,1.5
2023,433482,35433482,10211,LESTE 3,JARDIM PEDRA BRANCA,SAO PAULO,3,,1.34
2023,433615,35433615,10316,CENTRO SUL,CARLOS ESTEVAM ALDO MARTINS PROFESSOR,SAO PAULO,4,,1.64
